,Index,Variant,Location,Country Code,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
0,94,Momentum,Afghanistan,4,2.35203,2.35106,2.350405,2.35002,2.34987,2.349925,2.35016,2.35052,2.351005,2.351575,2.352205,2.352885,2.35358,2.354295,2.355005,2.355695,2.356375
1,159,Momentum,Albania,8,2.12329,2.11912,2.113815,2.108915,2.103995,2.09905,2.096635,2.09678,2.09692,2.097045,2.09717,2.097285,2.097395,2.0975,2.097595,2.097695,2.09778
2,46,Momentum,Algeria,12,2.142265,2.14218,2.142085,2.14197,2.14184,2.14171,2.14157,2.14143,2.141305,2.14118,2.141075,2.140965,2.14087,2.140795,2.140725,2.140655,2.140595
3,36,Momentum,Angola,24,2.37124,2.371655,2.372055,2.372475,2.37289,2.37333,2.373765,2.37419,2.37463,2.37508,2.37554,2.37598,2.376425,2.37688,2.377335,2.377775,2.37822
4,181,Momentum,Antigua and Barbuda,28,2.065165,2.065445,2.06581,2.06619,2.066535,2.06688,2.0672,2.067495,2.06777,2.06802,2.06826,2.06848,2.06869,2.06888,2.06906,2.06923,2.069385
5,208,Momentum,Argentina,32,2.086405,2.08666,2.086925,2.0872,2.08747,2.087705,2.08794,2.088135,2.08831,2.088455,2.08859,2.08869,2.088775,2.088835,2.088875,2.08891,2.08893
6,116,Momentum,Armenia,51,2.17165,2.161725,2.151585,2.14137,2.13118,2.120845,2.11045,2.11064,2.11079,2.11092,2.11103,2.111125,2.111215,2.11128,2.111365,2.11143,2.11149
7,182,Momentum,Aruba,533,2.09892,2.10009,2.100405,2.100605,2.100755,2.100875,2.100975,2.101055,2.10112,2.10117,2.101225,2.10126,2.1013,2.10134,2.10137,2.1014,2.10143
8,226,Momentum,Australia,36,2.0749,2.075125,2.07527,2.075375,2.07545,2.07548,2.0755,2.07549,2.07548,2.07545,2.075425,2.075415,2.075385,2.07536,2.07534,2.075315,2.075285
9,172,Momentum,Austria,40,2.072085,2.07238,2.072565,2.07269,2.072765,2.072815,2.07283,2.07284,2.072845,2.07284,2.072835,2.072835,2.072845,2.072845,2.07285,2.072845,2.072845
10,117,Momentum,Azerbaijan,31,2.212855,2.20615,2.195445,2.18486,2.17444,2.16395,2.153465,2.153825,2.154205,2.154565,2.15492,2.155275,2.15562,2.15594,2.156255,2.156545,2.156825
11,183,Momentum,Bahamas,44,2.11471,2.11596,2.11684,2.11749,2.117955,2.118295,2.11851,2.11862,2.11868,2.11869,2.118665,2.11866,2.11864,2.118635,2.11861,2.11859,2.11857
12,118,Momentum,Bahrain,48,2.066935,2.06941,2.069375,2.069355,2.069345,2.06936,2.069375,2.069395,2.069425,2.06946,2.069495,2.069545,2.069585,2.069625,2.06966,2.069705,2.069735
13,95,Momentum,Bangladesh,50,2.17308,2.173125,2.17356,2.17422,2.174975,2.175765,2.17658,2.1774,2.17821,2.179,2.17977,2.18054,2.18127,2.181975,2.182645,2.18329,2.183875
14,184,Momentum,Barbados,52,2.07478,2.075755,2.076125,2.07636,2.076515,2.076605,2.07663,2.07663,2.076625,2.076625,2.07663,2.076635,2.076625,2.076625,2.076625,2.076625,2.07663
15,136,Momentum,Belarus,112,2.08608,2.08747,2.088365,2.088915,2.08927,2.089465,2.089585,2.089635,2.08966,2.089665,2.08966,2.089665,2.08966,2.08966,2.089655,2.08967,2.089665
