,Index,Variant,Location,Country Code,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
0,94,No change,Afghanistan,4,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552
1,159,No change,Albania,8,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135
2,46,No change,Algeria,12,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96
3,36,No change,Angola,24,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95
4,181,No change,Antigua and Barbuda,28,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963
5,208,No change,Argentina,32,2.345,2.345,2.345,2.345,2.345,2.345,2.345,2.345,2.345,2.345,2.345,2.345,2.345,2.345,2.345,2.345,2.345
6,116,No change,Armenia,51,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65
7,182,No change,Aruba,533,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
8,226,No change,Australia,36,1.885,1.885,1.885,1.885,1.885,1.885,1.885,1.885,1.885,1.885,1.885,1.885,1.885,1.885,1.885,1.885,1.885
9,172,No change,Austria,40,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488
10,117,No change,Azerbaijan,31,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
11,183,No change,Bahamas,44,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81
12,118,No change,Bahrain,48,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12
13,95,No change,Bangladesh,50,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208
14,184,No change,Barbados,52,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
15,136,No change,Belarus,112,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64
16,173,No change,Belgium,56,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807
17,199,No change,Belize,84,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64
18,60,No change,Benin,204,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202
19,96,No change,Bhutan,64,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
20,209,No change,Bolivia (Plurinational State of),68,3.0424,3.0424,3.0424,3.0424,3.0424,3.0424,3.0424,3.0424,3.0424,3.0424,3.0424,3.0424,3.0424,3.0424,3.0424,3.0424,3.0424
21,160,No change,Bosnia and Herzegovina,70,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314
22,54,No change,Botswana,72,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.875
23,210,No change,Brazil,76,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
24,104,No change,Brunei Darussalam,96,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
25,137,No change,Bulgaria,100,1.506,1.506,1.506,1.506,1.506,1.506,1.506,1.506,1.506,1.506,1.506,1.506,1.506,1.506,1.506,1.506,1.506
26,61,No change,Burkina Faso,854,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462
