Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Country1,1011201,1081223,1166560,1210426,1304616,1341115,1402609,1498111,1545766,1624976,1680965,1697602,1796908,1889603,1928183,1971841,2066601,2110591,2207365,2226544,2272230,2295147,2352836,2426072,2515109,2602614,2689152,2752268,2800071,2866991,2918053,2975284,3014645,3107911,3118642,3157310,3226139,3300496,3330113,3401858,3472215,3538433,3561327,3578958,3630292,3669739,3686506,3724955,3763721,3807962,3862497,3954272,4010302,4070020,4142870,4156928,4167094,4245696,4286403,4310359,4349806,4372453,4441391,4500508,4516987,4552200,4566388,4647829,4729720,4811021,4831210,4896771,4936310,4991106,5066366,5138494,5205474,5298008,5330192,5360700,5411833,5480340,5505323,5544033,5635787,5653585,5722205,5821466,5908160,5969685,5984151,6024829,6053327,6117860,6193508,6286093,6370285,6449675,6488895,6503504,6593865
Country2,331857,393836,455183,541221,554201,629505,704841,765450,849371,933932,989917,1002899,1042617,1066612,1111297,1188987,1241901,1283614,1360847,1390884,1409572,1460775,1532034,1572638,1615676,1706479,1743281,1823719,1923534,2008390,2030555,2129230,2162111,2250348,2284653,2335944,2417828,2467557,2499606,2571724,2648424,2691446,2741236,2753567,2773385,2810484,2843484,2878835,2897135,2909337,2939784,3021018,3076706,3117667,3203903,3279908,3341612,3386991,3451466,3532886,3630192,3651043,3711680,3777738,3844403,3910008,3962454,3982927,4019414,4110160,4162607,4206367,4269104,4285311,4360938,4460758,4551118,4581158,4645533,4724681,4821716,4849681,4929879,4944488,4960840,5044240,5105893,5161513,5205713,5287787,5378327,5458486,5495107,5539949,5639408,5686628,5747587,5784207,5861872,5947194,5960835
Country3,148252,235797,250805,329464,423505,457839,546235,562201,661536,675707,704388,781107,855825,903760,920755,953583,1039087,1068959,1115225,1127882,1166556,1188098,1231640,1244270,1320078,1380054,1465336,1533979,1589461,1647445,1674196,1712036,1726777,1767195,1817930,1886068,1912763,1972279,2046684,2122378,2183864,2257632,2318112,2338214,2432111,2521905,2585878,2642149,2726183,2822665,2858539,2940459,3009705,3032070,3081113,3163262,3238608,3260822,3306205,3378538,3405874,3454694,3531904,3606016,3700228,3740265,3788213,3829064,3876377,3936144,4014912,4109909,4171259,4188673,4215575,4289934,4385430,4475136,4555709,4649716,4663579,4675059,4764556,4846961,4902702,4989036,5051133,5081717,5172876,5190601,5239815,5284585,5298854,5330893,5341061,5380614,5460161,5502354,5602163,5695698,5781555
Country4,909598,926042,1001272,1100694,1176383,1232043,1280261,1355016,1398248,1421915,1508745,1552805,1636641,1725950,1751518,1823075,1884865,1976707,2072874,2162245,2195758,2258846,2340694,2377909,2425072,2449101,2523585,2584057,2666550,2681044,2696324,2758995,2825015,2886183,2947894,3012081,3071284,3081541,3118437,3142632,3176629,3253892,3344109,3412282,3479928,3517933,3594490,3646040,3726520,3791931,3857425,3923509,3995725,4092961,4121142,4219539,4266899,4332050,4425520,4456683,4474779,4545249,4620301,4678259,4724279,4780975,4809961,4888152,4978258,5075530,5155276,5215809,5281557,5356588,5416845,5439766,5490636,5547201,5593863,5653163,5735352,5803657,5879102,5897894,5958704,6034901,6126129,6163298,6231769,6307059,6326472,6410461,6494473,6553714,6582821,6658802,6707339,6791233,6817295,6916767,6988464
Country5,524332,583936,683701,752530,843745,862732,919513,993264,1037283,1108490,1156688,1222678,1242140,1312373,1355364,1398907,1437400,1463839,1491045,1554489,1608560,1653688,1693065,1735810,1829277,1852076,1921992,1942965,2039943,2052062,2150884,2180613,2251831,2279216,2333398,2346906,2378325,2425142,2452039,2536705,2576837,2657779,2709924,2767567,2799628,2871679,2937571,2974840,3049185,3118948,3188448,3216192,3284522,3362634,3456201,3514280,3542349,3629045,3670779,3766376,3862785,3943420,3981879,4068438,4088109,4160566,4202115,4263633,4340396,4382723,4462235,4543275,4596953,4617047,4655953,4701412,4788206,4812553,4831088,4915958,4959025,4997051,5048754,5124433,5174344,5233881,5245591,5283910,5305957,5365221,5390186,5408045,5490005,5537067,5630717,5689050,5711021,5805563,5875379,5902819,5977294
Country6,235004,306795,384008,439790,468568,502142,578046,598209,686860,716567,768995,848007,869852,907944,940197,982986,999278,1031114,1069363,1131771,1212478,1298490,1379167,1432894,1521265,1564016,1646390,1680569,1746745,1777341,1860602,1898677,1913899,1938712,1987898,2087027,2100487,2168344,2193887,2247452,2302096,2353258,2437692,2478324,2541299,2614449,2679990,2769129,2836989,2851943,2928783,2966806,3056992,3071602,3113489,3201512,3234354,3301933,3360962,3371136,3427100,3477577,3490333,3575284,3615847,3653650,3735830,3756413,3802892,3857974,3896664,3910585,3991725,4065833,4121680,4177847,4204940,4234078,4284123,4371614,4444849,4481287,4501502,4542421,4609544,4683027,4731466,4818797,4886328,4906569,4950554,5045826,5088464,5162140,5237249,5322179,5384794,5404228,5449604,5501149,5525632
Country7,947303,957975,989349,1069395,1130847,1142054,1166081,1225219,1298922,1310451,1332414,1371968,1454154,1486920,1507300,1537461,1601259,1655291,1721030,1745176,1814699,1908636,1961145,2050621,2075079,2113554,2137949,2224817,2237237,2276492,2366732,2378161,2470745,2555984,2596088,2639018,2735261,2797216,2896014,2937672,3020368,3038547,3093055,3187101,3260633,3350229,3421386,3507087,3557114,3634349,3681031,3720374,3787801,3849563,3947421,4031049,4121638,4200958,4244352,4254699,4298174,4379523,4456344,4534214,4579210,4672715,4759758,4813820,4850716,4869204,4903796,4952153,4970932,4985699,5033395,5123348,5222656,5316086,5390445,5457385,5519911,5535822,5592530,5675756,5734819,5781821,5792957,5816572,5845708,5869283,5917280,5983431,6068059,6105860,6156441,6183004,6277021,6305653,6376688,6441345,6511662
Country8,855768,931576,1028317,1122058,1198913,1214687,1275209,1312699,1379301,1436219,1450237,1527089,1585088,1638698,1722480,1734637,1799325,1881753,1929576,1947119,2003855,2051652,2116684,2214180,2312927,2332469,2372691,2419098,2481312,2506918,2547042,2596485,2627826,2647843,2699923,2729581,2794591,2863741,2895250,2968855,3022851,3117871,3161626,3194493,3289576,3362001,3428752,3448905,3478449,3548371,3611696,3642873,3694118,3725255,3751735,3806034,3892860,3938961,3989418,4025871,4072019,4144028,4166940,4247473,4294450,4356788,4437218,4475791,4574957,4651171,4713041,4796080,4888557,4902843,4923853,4958477,4997126,5081187,5095213,5135076,5230577,5241240,5268807,5324097,5335268,5403542,5502058,5560627,5592102,5663214,5758926,5834671,5859946,5916176,5981280,6075765,6120343,6193170,6215183,6260301,6342030
Country9,453350,512903,578663,617247,686755,713386,758602,823988,884160,928745,1005397,1025334,1068038,1090565,1161714,1251878,1302721,1343657,1416177,1511420,1569761,1627284,1719228,1749762,1785759,1877133,1937555,1997454,2070896,2111246,2124482,2149552,2215216,2289572,2304175,2396301,2492655,2514266,2546929,2581664,2632144,2680758,2753523,2814356,2830894,2841855,2893746,2906837,2955938,2984065,3075776,3110201,3165461,3241559,3267715,3365238,3409867,3451593,3471071,3541110,3589288,3643808,3682803,3702225,3717714,3798647,3856883,3922395,3939504,3973700,4039118,4079050,4133016,4206384,4238502,4258850,4349352,4395807,4430868,4502252,4578073,4593510,4655026,4672904,4724370,4808356,4861204,4929716,4991347,5023220,5118241,5176629,5220120,5236754,5321914,5415047,5508885,5549851,5628203,5700621,5765349
Country10,399932,428458,446107,517263,548518,604682,692276,734987,780862,820190,916824,959307,976730,1018771,1046189,1132780,1232523,1245322,1301854,1368920,1437727,1457723,1494215,1575629,1642465,1693625,1781533,1877291,1947643,1993498,2016097,2064666,2136858,2226594,2289872,2326331,2365146,2436094,2453669,2501277,2594187,2618973,2713632,2742193,2778332,2827553,2923989,2940303,2981056,3051112,3064100,3152985,3184934,3211935,3281775,3346529,3411775,3462817,3532742,3620410,3650583,3724893,3773871,3851485,3892995,3952653,4049016,4095914,4129655,4166120,4226930,4242333,4273713,4294255,4326053,4402586,4467272,4559198,4577659,4632088,4715155,4784962,4800521,4835959,4905475,4976912,5074469,5100642,5148894,5221215,5232918,5312160,5399028,5492917,5506041,5575828,5671084,5710833,5787730,5827914,5900121
